Station,Field Asset Name,X,Y,Z,Customer Name,Site
GASV00USA,00871-01:2193131,838103.1029,-5344799.11,3366718.643,Swift,CONUS 1.0SoutheastGAUSA001891
IABE00USA,00871-01:2193014,-398638.3237,-4828583.598,4134665.541,Swift,CONUS 1.0MidwestIAUSA001666
IACE00USA,00871-01:2193080,-200826.7925,-4702841.367,4289828.698,Swift,CONUS 1.0MidwestIAUSA001667
IAFD00USA,00871-01:2193081,-344271.583,-4697031.826,4287193.8,Swift,IntegrityMidwestIAUSA001669
IAFM00USA,00871-01:2053,-111301.9568,-4846281.576,4131404.168,Swift,CONUS 1.0MidwestIAUSA001670
IAGM00USA,00871-01:2001,-63338.181,-4709984.483,4286260.09,Swift,CONUS 1.0MidwestIAUSA001671
IDBU00USA,00871-01:1018828040,-1969670.447,-4270740.141,4295587.146,Swift,CONUS 1.0NorthwestIDUSA001673
IDCL00USA,00871-01:2193076,-1869770.798,-4155869.156,4449708.434,Swift,CONUS 1.0NorthwestIDUSA001674
IDNP00USA,00871-01:1992,-2069623.092,-4139813.067,4374910.03,Swift,CONUS 1.0NorthwestIDUSA001675
IDPO00USA,00871-01:1018828038,-1788108.951,-4328410.494,4317391.079,Swift,CONUS 1.0NorthwestIDUSA001676
IDRY00USA,00871-01:1018828002,-1724937.54,-4287799.759,4382855.295,Swift,CONUS 1.0NorthwestIDUSA001677
ILAS00USA,00871-01:2037,172428.285,-4826391.882,4152459.935,Swift,CONUS 1.0MidwestILUSA001678
ILCY00USA,00871-01:1952,149320.5962,-4757566.073,4231506.407,Swift,CONUS 1.0MidwestILUSA001679
ILRO00USA,00871-01:2027,195841.4922,-4959138.878,3992940.467,Swift,CONUS 1.0MidwestILUSA001680
ILSL01USA,00871-01:1999,25572.8568,-4763267.413,4227651.112,Swift,IntegrityMidwestILUSA001681
ILTV00USA,00871-01:2193077,60518.7435,-4924563.442,4039532.503,Swift,IntegrityMidwestILUSA001682
INFW00USA,00871-01:2193028,408228.7467,-4797801.387,4169055.047,Swift,IntegrityMidwestINUSA001683
INSG00USA,00871-01:1914,369536.3706,-4992905.701,3938540.199,Swift,CONUS 1.0MidwestINUSA001684
INVO00USA,00871-01:2025,245232.9418,-4780305.922,4201535.595,Swift,CONUS 1.0MidwestINUSA001685
KSAB00USA,00871-01:1018828075,-669543.8393,-5014171.869,3872286.437,Swift,CONUS 1.0MidwestKSUSA001686
KSDN00USA,00871-01:2193017,-908125.7633,-4916822.113,3947947.107,Swift,CONUS 1.0South CentralKSUSA001687
KSGL00USA,00871-01:1967,-1002751.831,-4836919.202,4022988.356,Swift,CONUS 1.0South CentralKSUSA001688
